captured_at,deck_id,card_entries,total_copies,updated_at
2026-08-13T08:15:14.997410+00:00,22f936d058,0,0,2026-08-12T15:25:35.116+00:00
2026-08-13T08:15:14.997410+00:00,232b41a817,0,0,2026-08-11T03:33:16.765+00:00
2026-08-13T08:15:14.997410+00:00,238c86675d,0,0,2026-08-09T01:32:17.405+00:00
2026-08-13T08:15:14.997410+00:00,23a4266f65,0,0,2026-08-10T22:27:27.58+00:00
2026-08-13T08:15:14.997410+00:00,23f77ef1e5,0,0,2026-08-03T20:03:03.105+00:00
2026-08-13T08:15:14.997410+00:00,23f95ed99a,0,0,2026-08-03T05:15:47.091+00:00
2026-08-13T08:15:14.997410+00:00,242c0b6256,0,0,2026-08-09T03:49:59.22+00:00
2026-08-13T08:15:14.997410+00:00,248addc3fa,0,0,2026-08-13T03:29:45.43+00:00
2026-08-13T08:15:14.997410+00:00,24c2070acb,0,0,2026-08-04T01:03:49.015+00:00
2026-08-13T08:15:14.997410+00:00,24c6db2408,0,0,2026-08-03T12:42:34.824+00:00
2026-08-13T08:15:14.997410+00:00,252b2a53f1,0,0,2026-08-09T06:28:27.601+00:00
2026-08-13T08:15:14.997410+00:00,2561395fd1,0,0,2026-08-04T03:17:10.102+00:00
2026-08-13T08:15:14.997410+00:00,25a4cfe94c,0,0,2026-08-10T04:26:34.352+00:00
2026-08-13T08:15:14.997410+00:00,25bcaa3c2c,0,0,2026-08-10T18:46:38.157+00:00
2026-08-13T08:15:14.997410+00:00,25e33c6777,0,0,2026-08-11T01:56:31.162+00:00
2026-08-13T08:15:14.997410+00:00,25e9a6c8d8,0,0,2026-08-08T09:39:37.17+00:00
2026-08-13T08:15:14.997410+00:00,25f5ad8d1c,0,0,2026-08-10T22:01:28.229+00:00
2026-08-13T08:15:14.997410+00:00,263b6ad33e,0,0,2026-08-08T02:18:41.122+00:00
2026-08-13T08:15:14.997410+00:00,26d01c063b,0,0,2026-08-10T20:51:27.846+00:00
2026-08-13T08:15:14.997410+00:00,26f17d021a,0,0,2026-07-31T02:35:22.813+00:00
2026-08-13T08:15:14.997410+00:00,270056a5f9,0,0,2026-08-02T07:32:04.152+00:00
2026-08-13T08:15:14.997410+00:00,272bebdc72,0,0,2026-08-05T00:48:58.156+00:00
2026-08-13T08:15:14.997410+00:00,2838cc9619,0,0,2026-08-11T22:48:55.604+00:00
2026-08-13T08:15:14.997410+00:00,2840b6a601,0,0,2026-08-11T03:46:49.5+00:00
2026-08-13T08:15:14.997410+00:00,287dc6b49a,0,0,2026-08-07T05:54:22.811+00:00
2026-08-13T08:15:14.997410+00:00,28839769b0,0,0,2026-08-04T03:47:29.899+00:00
2026-08-13T08:15:14.997410+00:00,290f5f30be,0,0,2026-08-05T22:56:31.636+00:00
2026-08-13T08:15:14.997410+00:00,294b301fd7,0,0,2026-08-11T18:53:31.896+00:00
2026-08-13T08:15:14.997410+00:00,29758f517f,0,0,2026-08-10T00:56:45.699+00:00
2026-08-13T08:15:14.997410+00:00,2991ed2fae,0,0,2026-07-24T18:33:26.732+00:00
2026-08-13T08:15:14.997410+00:00,29abbef718,0,0,2026-08-07T19:22:09.965+00:00
2026-08-13T08:15:14.997410+00:00,29cf85116a,0,0,2026-08-09T05:12:38.935+00:00
2026-08-13T08:15:14.997410+00:00,2a30d602d7,0,0,2026-08-08T23:17:32.736+00:00
2026-08-13T08:15:14.997410+00:00,2a37835cf4,0,0,2026-08-03T23:12:59.183+00:00
2026-08-13T08:15:14.997410+00:00,2affc2a5b8,0,0,2026-08-09T21:00:31.503+00:00
2026-08-13T08:15:14.997410+00:00,2b194945fe,0,0,2026-08-08T22:12:20.291+00:00
2026-08-13T08:15:14.997410+00:00,2b22c3ddb0,0,0,2026-08-10T19:47:51.57+00:00
2026-08-13T08:15:14.997410+00:00,2b4cb749bf,0,0,2026-08-11T08:27:36.22+00:00
2026-08-13T08:15:14.997410+00:00,2b4cd0c394,0,0,2026-08-06T09:43:38.929+00:00
2026-08-13T08:15:14.997410+00:00,2b5ba471a1,0,0,2026-08-05T15:42:04.021+00:00
2026-08-13T08:15:14.997410+00:00,2b7e4b1c6e,0,0,2026-08-12T05:24:30.55+00:00
2026-08-13T08:15:14.997410+00:00,2bf9931f92,0,0,2026-08-04T17:20:02.832+00:00
2026-08-13T08:15:14.997410+00:00,2c10693791,0,0,2026-08-10T13:16:51.976+00:00
2026-08-13T08:15:14.997410+00:00,2cb40b6728,0,0,2026-08-05T03:09:27.201+00:00
2026-08-13T08:15:14.997410+00:00,2cccc5969a,0,0,2026-08-01T19:10:44.144+00:00
2026-08-13T08:15:14.997410+00:00,2d0a4ab516,0,0,2026-08-10T01:46:36.651+00:00
2026-08-13T08:15:14.997410+00:00,2d31114c5d,0,0,2026-08-12T12:48:44.117+00:00
2026-08-13T08:15:14.997410+00:00,2d753b1a81,0,0,2026-08-05T05:55:25.479+00:00
2026-08-13T08:15:14.997410+00:00,2d85a56c89,0,0,2026-08-06T05:39:38.592+00:00
2026-08-13T08:15:14.997410+00:00,2db8da80be,0,0,2026-08-06T23:41:33.783+00:00
2026-08-13T08:15:14.997410+00:00,2dcb38f290,0,0,2026-08-12T04:40:47.236+00:00
2026-08-13T08:15:14.997410+00:00,2dfab8a8f3,0,0,2026-08-06T03:45:03.857+00:00
2026-08-13T08:15:14.997410+00:00,2e5390d3bf,0,0,2026-08-05T21:43:47.853+00:00
2026-08-13T08:15:14.997410+00:00,2e55026923,0,0,2026-08-12T15:50:15.601+00:00
2026-08-13T08:15:14.997410+00:00,2e666db779,0,0,2026-08-04T17:14:02.103+00:00
2026-08-13T08:15:14.997410+00:00,2eb7b045cb,0,0,2026-08-08T11:47:10.002+00:00
2026-08-13T08:15:14.997410+00:00,2fa2093aa9,0,0,2026-08-11T23:55:54.207+00:00
2026-08-13T08:15:14.997410+00:00,30b258323e,0,0,2026-08-05T02:30:42.832+00:00
2026-08-13T08:15:14.997410+00:00,30bcecfef9,0,0,2026-08-07T15:36:19.921+00:00
2026-08-13T08:15:14.997410+00:00,30c831f2ca,0,0,2026-08-04T19:08:29.433+00:00
2026-08-13T08:15:14.997410+00:00,30e7aa4a4b,0,0,2026-08-05T12:39:09.463+00:00
2026-08-13T08:15:14.997410+00:00,31010b7876,0,0,2026-08-04T01:03:49.714+00:00
2026-08-13T08:15:14.997410+00:00,316411ad8d,0,0,2026-08-08T12:39:08.971+00:00
2026-08-13T08:15:14.997410+00:00,3187e51b26,0,0,2026-08-04T03:34:28.992+00:00
2026-08-13T08:15:14.997410+00:00,322417967f,0,0,2026-08-11T01:38:02.846+00:00
